23008611|110000|昌平|changping|17
23008613|110000|朝阳|chaoyang|63
23008614|110000|东城|dongcheng|27
23008615|110000|大兴|daxing|15
23008616|110000|房山|fangshan|9
23008617|110000|丰台|fengtai|37
23008618|110000|海淀|haidian|45
23008619|110000|怀柔|huairou|2
23008620|110000|门头沟|mentougou|7
23008621|110000|密云|miyun|1
23008622|110000|平谷|pinggu|1
23008623|110000|石景山|shijingshan|9
23008624|110000|顺义|shunyi|8
23008625|110000|通州|tongzhou|15
23008626|110000|西城|xicheng|27
23008628|110000|延庆|yanqing|1
23008629|110000|亦庄开发区|yizhuangkaifaqu|3
